Internet Service,Internet Service_Telco_customer_churn_services,Online Security,Online Security_Telco_customer_churn_services,Online Backup,Online Backup_Telco_customer_churn_services,Streaming TV,Streaming TV_Telco_customer_churn_services,Streaming Movies,Streaming Movies_Telco_customer_churn_services,Contract,Contract_Telco_customer_churn_services,Payment Method,Payment Method_Telco_customer_churn_services,Total Charges,Total Charges_Telco_customer_churn_services,Churn Reason,Churn Reason_Telco_customer_churn_status
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1752.55,1752.55,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,857.25,857.25,Price too high,Price too high
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,79.35,79.35,Product dissatisfaction,Competitor had better devices
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,496.9,496.9,Service dissatisfaction,Service dissatisfaction
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,927.35,927.35,Lack of self-service on Website,Attitude of support person
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,113.85,113.85,Network reliability,Attitude of support person
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2514.5,2514.5,Limited range of services,Limited range of services
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Bank transfer (automatic),Bank Withdrawal,7611.85,7611.85,Lack of affordable download/upload speed,Competitor had better devices
Fiber optic,Yes,Yes,Yes,Yes,Yes,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,5238.9,5238.9,Long distance charges,Long distance charges
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2868.15,2868.15,Extra data charges,Extra data charges
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1064.65,1064.65,Price too high,Price too high
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,229.55,229.55,Product dissatisfaction,Product dissatisfaction
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2135.5,2135.5,Service dissatisfaction,Competitor had better devices
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,1502.65,1502.65,Lack of self-service on Website,Attitude of support person
DSL,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,35.45,35.45,Network reliability,Network reliability
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,81.25,81.25,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,70.45,70.45,Don't know,Don't know
DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,563.65,563.65,Don't know,Don't know
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,45.65,45.65,Poor expertise of online support,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Credit Card,655.5,655.5,Poor expertise of phone support,Competitor had better devices
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1592.35,1592.35,Price too high,Price too high
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,273,273.0,Product dissatisfaction,Product dissatisfaction
DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2651.2,2651.2,Service dissatisfaction,Service dissatisfaction
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,242.8,242.8,Lack of self-service on Website,Attitude of support person
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,One year,One Year,Bank transfer (automatic),Bank Withdrawal,5000.2,5000.2,Network reliability,Competitor had better devices
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,1145.7,1145.7,Limited range of services,Limited range of services
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,503.6,503.6,Lack of affordable download/upload speed,Lack of affordable download/upload speed
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,29.95,29.95,Long distance charges,Competitor had better devices
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,662.65,662.65,Extra data charges,Extra data charges
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1111.65,1111.65,Price too high,Competitor had better devices
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,24.8,24.8,Product dissatisfaction,Product dissatisfaction
Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,531,531.0,Service dissatisfaction,Service dissatisfaction
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,79.9,79.9,Lack of self-service on Website,Attitude of support person
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1934.45,1934.45,Network reliability,Network reliability
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,84.5,84.5,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,268.35,268.35,Don't know,Don't know
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,179.35,179.35,Don't know,Competitor made better offer
DSL,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,55.2,55.2,Poor expertise of online support,Poor expertise of online support
Fiber optic,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Credit Card,84.6,84.6,Poor expertise of phone support,Poor expertise of phone support
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,114.1,114.1,Price too high,Price too high
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1120.3,1120.3,Product dissatisfaction,Product dissatisfaction
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1074.3,1074.3,Service dissatisfaction,Competitor had better devices
DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,48.55,48.55,Lack of self-service on Website,Attitude of support person
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,147.15,147.15,Network reliability,Network reliability
DSL,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,40.2,40.2,Limited range of services,Limited range of services
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,80.55,80.55,Lack of affordable download/upload speed,Lack of affordable download/upload speed
DSL,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,132.2,132.2,Long distance charges,Long distance charges
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1364.3,1364.3,Extra data charges,Competitor had better devices
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Two year,Two Year,Mailed check,Credit Card,1099.6,1099.6,Price too high,Price too high
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1511.2,1511.2,Product dissatisfaction,Competitor had better devices
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,24.8,24.8,Service dissatisfaction,Service dissatisfaction
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,70.6,70.6,Lack of self-service on Website,Attitude of support person
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,401.1,401.1,Network reliability,Network reliability
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,5624.85,5624.85,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Mailed check,Credit Card,1779.95,1779.95,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,70,70.0,Don't know,Don't know
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,606.55,606.55,Poor expertise of online support,Poor expertise of online support
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,435.4,435.4,Poor expertise of phone support,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1712.7,1712.7,Price too high,Competitor made better offer
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,73.6,73.6,Product dissatisfaction,Competitor made better offer
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,396.1,396.1,Service dissatisfaction,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2303.35,2303.35,Lack of self-service on Website,Attitude of support person
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,415.55,415.55,Network reliability,Competitor made better offer
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Credit card (automatic),Credit Card,3058.65,3058.65,Limited range of services,Don't know
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2231.05,2231.05,Lack of affordable download/upload speed,Competitor made better offer
DSL,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Bank transfer (automatic),Bank Withdrawal,4350.1,4350.1,Long distance charges,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,139.05,139.05,Extra data charges,Don't know
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,511.25,511.25,Price too high,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,155.8,155.8,Product dissatisfaction,Competitor made better offer
DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,One year,One Year,Bank transfer (automatic),Bank Withdrawal,5293.95,5293.95,Service dissatisfaction,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Two year,Two Year,Electronic check,Bank Withdrawal,4759.85,4759.85,Lack of self-service on Website,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,6603,6603.0,Network reliability,Competitor made better offer
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,168.2,168.2,Don't know,Don't know
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,371.9,371.9,Don't know,Competitor made better offer
DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,840.1,840.1,Don't know,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,846,846.0,Poor expertise of online support,Competitor made better offer
DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,805.1,805.1,Poor expertise of phone support,Competitor made better offer
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,492.55,492.55,Price too high,Competitor made better offer
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,181.5,181.5,Product dissatisfaction,Competitor made better offer
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,2566.5,2566.5,Service dissatisfaction,Competitor made better offer
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,50.65,50.65,Don't know,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,90.85,90.85,Network reliability,Competitor made better offer
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,214.75,214.75,Limited range of services,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,4874.7,4874.7,Lack of affordable download/upload speed,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,2524.45,2524.45,Long distance charges,Competitor made better offer
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,7007.6,7007.6,Extra data charges,Competitor made better offer
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,19.9,19.9,Price too high,Competitor made better offer
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,19.6,19.6,Product dissatisfaction,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,233.7,233.7,Service dissatisfaction,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1845.9,1845.9,Lack of self-service on Website,Competitor had better devices
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,75.3,75.3,Network reliability,Network reliability
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,1182.55,1182.55,Don't know,Long distance charges
DSL,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,518.9,518.9,Don't know,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,6396.45,6396.45,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,69.55,69.55,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,2227.1,2227.1,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,385.9,385.9,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,673.25,673.25,Competitor had better devices,Competitor had better devices
DSL,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,734.35,734.35,Competitor had better devices,Competitor had better devices
DSL,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,55,55.0,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,74.7,74.7,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1861.5,1861.5,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,453.4,453.4,Competitor had better devices,Competitor made better offer
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,994.8,994.8,Competitor had better devices,Competitor had better devices
DSL,Yes,Yes,Yes,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,2145,2145.0,Price too high,Price too high
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,680.05,680.05,Product dissatisfaction,Product dissatisfaction
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,74.35,74.35,Service dissatisfaction,Competitor had better devices
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,139.4,139.4,Lack of self-service on Website,Attitude of support person
DSL,Yes,No,No,Yes,Yes,No,No,Yes,Yes,One year,One Year,Bank transfer (automatic),Bank Withdrawal,903.6,903.6,Network reliability,Network reliability
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,131.05,131.05,Limited range of services,Limited range of services
Fiber optic,Yes,Yes,Yes,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,1238.45,1238.45,Lack of affordable download/upload speed,Lack of affordable download/upload speed
Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,1782.4,1782.4,Long distance charges,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,167.5,167.5,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,502.85,502.85,Price too high,Price too high
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,334.8,334.8,Product dissatisfaction,Product dissatisfaction
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,4131.95,4131.95,Service dissatisfaction,Competitor had better devices
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,1929.35,1929.35,Lack of self-service on Website,Attitude of support person
Fiber optic,Yes,No,No,No,No,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,1758.6,1758.6,Network reliability,Network reliability
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,3480,3480.0,Don't know,Poor expertise of online support
Fiber optic,Yes,No,No,No,No,No,No,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,85,85.0,Don't know,Don't know
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,834.1,834.1,Don't know,Don't know
DSL,Yes,Yes,Yes,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,597,597.0,Poor expertise of online support,Poor expertise of online support
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,No,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,3266,3266.0,Poor expertise of phone support,Competitor had better devices
Fiber optic,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,2596.15,2596.15,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,3527.6,3527.6,Competitor offered higher download speeds,Competitor offered higher download speeds
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,One year,One Year,Credit card (automatic),Credit Card,5614.45,5614.45,Competitor offered more data,Competitor offered more data
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Mailed check,Credit Card,233.55,233.55,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,75.3,75.3,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,346.2,346.2,Competitor had better devices,Competitor had better devices
Fiber optic,Yes,No,No,No,No,Yes,Yes,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,85.7,85.7,Competitor offered higher download speeds,Competitor had better devices
DSL,Yes,Yes,Yes,No,No,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,713.75,713.75,Competitor offered higher download speeds,Competitor offered higher download speeds
Fiber optic,Yes,Yes,Yes,No,No,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,6786.4,6786.4,Competitor offered higher download speeds,Attitude of support person
DSL,Yes,No,No,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Electronic check,Bank Withdrawal,248.95,248.95,Competitor offered more data,Competitor offered more data
DSL,Yes,Yes,Yes,Yes,Yes,No,No,No,No,Month-to-month,Month-to-Month,Mailed check,Mailed Check,663.05,663.05,Competitor offered more data,Competitor offered more data
No,No,No internet service,No,No internet service,No,No internet service,No,No internet service,No,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,137.6,137.6,Competitor offered more data,Attitude of support person
Fiber optic,Yes,No,No,Yes,Yes,No,No,Yes,Yes,Month-to-month,Month-to-Month,Credit card (automatic),Credit Card,4547.25,4547.25,Competitor made better offer,Competitor made better offer
Fiber optic,Yes,No,No,Yes,Yes,Yes,Yes,Yes,Yes,Month-to-month,Month-to-Month,Bank transfer (automatic),Bank Withdrawal,4687.9,4687.9,Competitor made better offer,Competitor made better offer
